epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,98.5965,0.84825,3.70188,0.00378,0.72572,0.76935,0.83614,0.70847,0.69753,0.87378,0.00424,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,152.756,0.85102,0.8952,0.00379,0.57495,0.70969,0.67954,0.56965,0.66453,1.27659,0.00404,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,200.954,0.9175,0.94103,0.00407,0.65302,0.6721,0.69912,0.59464,0.63731,1.34256,0.00384,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,248.401,0.97666,0.98982,0.00435,0.71676,0.73515,0.77599,0.64015,0.74255,1.01501,0.00469,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,295.456,0.98653,0.87126,0.00438,0.80264,0.74924,0.83367,0.71598,0.64431,0.79261,0.00388,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,341.404,0.944,0.76725,0.00412,0.81937,0.79873,0.86658,0.74771,0.64022,0.68234,0.00387,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,387.8,0.93415,0.7165,0.00411,0.74802,0.71444,0.81836,0.69727,0.65162,0.83423,0.00392,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,433.268,0.9338,0.70242,0.0041,0.80704,0.77665,0.84223,0.72072,0.61759,0.66906,0.00364,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,479.165,0.88998,0.64124,0.00379,0.72167,0.77088,0.81262,0.71128,0.61084,0.87188,0.00364,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,524.722,0.89757,0.62234,0.00385,0.83193,0.7801,0.87604,0.75009,0.63217,0.59919,0.00374,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,570.812,0.86634,0.59034,0.00371,0.81832,0.77143,0.84302,0.75049,0.57146,0.83101,0.00349,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,617.899,0.85414,0.59516,0.00367,0.57896,0.83155,0.78096,0.70663,0.56112,3.6218,0.00336,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,664.216,0.84525,0.5703,0.00366,0.82157,0.82817,0.87869,0.74642,0.67175,0.71933,0.00407,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,711.659,0.84371,0.54445,0.00359,0.81938,0.80939,0.87562,0.78174,0.55587,0.69255,0.00331,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
