epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,173.569,0.96967,7.98304,0.00431,0.58589,0.58913,0.61722,0.49367,0.82865,1.2889,0.0047,0.00997613,0.00332538,0.00997613,0.00332538,0.00997613,0.00332538,0.00997613,0.00332538
2,278.596,0.95632,3.11095,0.00419,0.68551,0.75202,0.79099,0.63229,0.83058,0.9929,0.00469,0.0199564,0.00665212,0.0199564,0.00665212,0.0199564,0.00665212,0.0199564,0.00665212
3,369.625,1.03752,1.67731,0.00459,0.71886,0.70559,0.77372,0.58981,0.948,0.97221,0.0054,0.0299168,0.00997226,0.0299168,0.00997226,0.0299168,0.00997226,0.0299168,0.00997226
4,461.81,1.11256,1.33259,0.00504,0.70528,0.75675,0.78435,0.5911,0.97226,0.94656,0.00565,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,561.896,1.10563,1.07732,0.00497,0.74757,0.80947,0.84783,0.64763,0.91388,0.76726,0.00533,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,666.239,1.06043,0.9739,0.00465,0.77385,0.7804,0.84404,0.65322,0.93618,0.82302,0.00535,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,767.534,1.03467,0.87285,0.00457,0.81261,0.85363,0.91322,0.72945,0.85092,0.63234,0.00495,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,868.573,0.98558,0.82382,0.00427,0.83891,0.8186,0.91421,0.73254,0.79917,0.61969,0.00454,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,969.245,0.97877,0.80689,0.0043,0.86596,0.85218,0.93005,0.76355,0.77301,0.55993,0.0043,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,1068.54,0.98425,0.77325,0.00425,0.85346,0.79474,0.92139,0.75257,0.76596,0.62284,0.00441,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,1173.62,0.95576,0.74179,0.00418,0.87414,0.8836,0.94205,0.76136,0.82998,0.50728,0.00468,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,1282.66,0.93504,0.71357,0.00406,0.88063,0.88051,0.94341,0.77097,0.76478,0.48125,0.00432,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,1385.88,0.93992,0.67655,0.00411,0.85755,0.83152,0.92625,0.75698,0.7527,0.52407,0.00422,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,1478.88,0.91862,0.6727,0.00399,0.91229,0.88332,0.957,0.78286,0.7561,0.44185,0.00417,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,1565.43,0.88538,0.64001,0.00384,0.88687,0.84426,0.94363,0.76405,0.78119,0.49142,0.00448,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,1651.62,0.90881,0.68031,0.00395,0.88395,0.86609,0.94049,0.77292,0.72754,0.48494,0.00411,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,1739.51,0.90394,0.62723,0.00389,0.93702,0.87244,0.96515,0.80553,0.68828,0.39274,0.00394,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,1829.63,0.89215,0.62237,0.00384,0.92705,0.88792,0.95857,0.79076,0.74271,0.43754,0.0042,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,1918.12,0.87496,0.59874,0.00381,0.88164,0.93349,0.96268,0.80135,0.68522,0.40235,0.00381,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,2010.58,0.86418,0.60135,0.00373,0.93223,0.87439,0.96832,0.81793,0.67593,0.40236,0.00382,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,2111.49,0.85179,0.56744,0.00369,0.94343,0.89467,0.96855,0.80386,0.70232,0.36426,0.00386,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,2199.94,0.85315,0.58203,0.00368,0.93181,0.9048,0.97374,0.82673,0.66585,0.36268,0.00368,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,2287.21,0.85749,0.57895,0.00368,0.91836,0.91047,0.9695,0.83148,0.6326,0.35003,0.0035,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,2374.21,0.85905,0.56297,0.00369,0.92948,0.89158,0.95598,0.81135,0.67992,0.38272,0.00372,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
