epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.2,0.96672,7.53702,0.00429,0.61518,0.65106,0.67053,0.54984,0.72623,1.15927,0.00438,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,306.277,0.96076,2.79417,0.0042,0.70733,0.63097,0.759,0.63348,0.72888,1.04945,0.00442,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,403.304,1.03118,1.555,0.00457,0.56031,0.72124,0.63747,0.48653,0.90112,1.61134,0.00554,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,497.164,1.11055,1.23211,0.00497,0.68202,0.74813,0.7841,0.61555,0.86035,1.06432,0.00521,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,588.843,1.06643,1.02074,0.00475,0.7711,0.73955,0.80352,0.61725,0.90108,0.93308,0.00551,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,688.517,1.02522,0.93322,0.00455,0.73898,0.75413,0.82083,0.64916,0.85291,0.82892,0.00539,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,795.17,1.01441,0.86858,0.0045,0.79754,0.66687,0.78241,0.62439,0.81489,0.96927,0.00503,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,898.948,1.00872,0.82494,0.0045,0.65696,0.7573,0.78948,0.62784,0.83756,0.93327,0.00516,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,1005.11,0.96021,0.76638,0.00413,0.7932,0.77029,0.82598,0.68552,0.73064,0.76929,0.00452,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,1110.86,0.97215,0.76762,0.00425,0.76776,0.76822,0.82359,0.69372,0.71213,0.71367,0.0043,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
