epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.848,1.15795,8.31547,0.00529,0.49261,0.34914,0.40924,0.28706,1.08577,8.67937,0.00704,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,311.767,1.13464,3.24889,0.00508,0.52701,0.59732,0.56938,0.41581,1.0058,3.19176,0.00651,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,427.484,1.22003,1.8897,0.00555,0.42633,0.38784,0.30497,0.21214,1.16497,3.47859,0.00749,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,540.315,1.27084,1.5264,0.00583,0.50011,0.6153,0.55635,0.37804,1.25169,1.88125,0.00811,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,654.929,1.26215,1.34786,0.00576,0.52313,0.35526,0.3933,0.24492,1.35127,2.65181,0.00886,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,768.708,1.23275,1.21777,0.00557,0.48009,0.46633,0.40299,0.23991,1.42726,2.33268,0.0098,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,877.165,1.24535,1.18284,0.00567,0.59649,0.5402,0.58843,0.40784,1.08425,1.61503,0.00683,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,989.399,1.22711,1.10621,0.00563,0.7424,0.5752,0.69515,0.48838,1.10555,1.48493,0.00697,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,1101.89,1.17373,1.02371,0.0052,0.54318,0.58095,0.57367,0.41281,1.14196,1.72838,0.00727,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,1214.5,1.17986,1.01596,0.00529,0.61704,0.62674,0.62347,0.45378,1.16771,1.67217,0.00758,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,1328.87,1.17083,0.98522,0.00518,0.69174,0.60009,0.68198,0.5042,1.08365,1.5168,0.00703,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,1447.84,1.14897,0.95486,0.00515,0.74703,0.60681,0.71328,0.5457,1.01708,1.54753,0.00641,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,1556.12,1.13,0.9159,0.00503,0.75203,0.67,0.74731,0.54741,1.05601,1.23872,0.00679,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,1673.85,1.12748,0.89932,0.00494,0.55622,0.54554,0.52089,0.36133,1.09601,1.65026,0.00702,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,1784.34,1.10367,0.8862,0.00484,0.51682,0.56751,0.51437,0.3803,1.02332,1.87675,0.00654,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,1899.88,1.09354,0.85941,0.00484,0.57192,0.57855,0.55099,0.38176,1.1453,1.62325,0.00768,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,2011.62,1.08115,0.83124,0.00483,0.64435,0.63042,0.67499,0.50424,1.05667,1.64342,0.00668,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,2122.75,1.06971,0.80903,0.00479,0.54681,0.58972,0.56935,0.42348,1.05506,1.77897,0.00686,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,2240.67,1.07249,0.81761,0.00478,0.62969,0.67265,0.68475,0.49772,1.10056,1.37029,0.00717,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,2353.6,1.05598,0.82238,0.00464,0.79351,0.62661,0.76265,0.56426,1.02418,1.18532,0.00671,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,2459.69,1.06276,0.78909,0.00474,0.62227,0.6271,0.66004,0.4955,0.97694,1.44818,0.00614,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,2568.61,1.05329,0.7684,0.00465,0.69585,0.70049,0.72182,0.55444,0.95173,1.22677,0.00593,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,2682.46,1.0148,0.71532,0.00443,0.71198,0.66449,0.74107,0.53698,1.05817,1.24268,0.00686,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,2788.66,1.02255,0.75513,0.00447,0.61739,0.62068,0.68289,0.49658,0.99611,1.50171,0.00657,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,2899.82,1.00423,0.71978,0.00442,0.59598,0.66017,0.67247,0.48573,1.04628,1.21693,0.00669,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,3016.21,1.00636,0.70948,0.00436,0.71933,0.56831,0.67427,0.49837,1.11494,1.30331,0.00727,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,3126.63,1.00745,0.75173,0.00443,0.71878,0.65636,0.71257,0.53989,1.00354,1.23721,0.00645,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,3242.02,1.00115,0.73122,0.0044,0.76693,0.73094,0.79837,0.61299,0.96427,1.14929,0.00619,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,3360.3,0.985,0.68408,0.00425,0.6842,0.66748,0.69482,0.51331,1.04733,1.25505,0.00717,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,3475.47,0.97885,0.66603,0.00421,0.7877,0.5851,0.70628,0.53928,1.00847,1.4961,0.00654,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,3585.16,0.98356,0.67282,0.00422,0.69202,0.71887,0.76667,0.61033,0.93277,1.38677,0.00592,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,3697.78,0.99865,0.70109,0.00436,0.75186,0.63886,0.75538,0.59259,0.91573,1.32545,0.00577,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,3809.46,0.96599,0.66538,0.00416,0.7904,0.64858,0.77519,0.61763,0.86653,1.1652,0.0054,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,3919.9,0.9509,0.63387,0.00406,0.81153,0.69036,0.78073,0.6192,0.86176,1.11733,0.00537,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,4032.57,0.95607,0.64801,0.00413,0.72879,0.73221,0.77846,0.61244,0.91392,1.00817,0.00578,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,4139.48,0.9677,0.63052,0.00416,0.55187,0.67883,0.62569,0.47593,0.92414,1.57782,0.00586,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,4255.03,0.95104,0.63526,0.00407,0.61989,0.60123,0.6044,0.46631,0.90457,1.59934,0.00577,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,4363.61,0.93086,0.6012,0.00399,0.71031,0.62604,0.66834,0.50717,0.94872,1.43233,0.00609,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,4478.13,0.93064,0.62366,0.00398,0.62162,0.71683,0.73049,0.58007,0.88159,1.20729,0.00561,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,4594.01,0.93194,0.61003,0.00401,0.72854,0.73848,0.77179,0.5981,0.93746,1.19479,0.00599,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,4703.07,0.91414,0.60651,0.00394,0.76545,0.67794,0.75895,0.59638,0.92681,1.14027,0.00613,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,4815.24,0.92024,0.57893,0.00393,0.70087,0.76391,0.77372,0.61504,0.86061,1.16108,0.00538,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,4931.13,0.91671,0.60829,0.00391,0.74807,0.73073,0.7842,0.64177,0.84069,1.10422,0.00523,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,5049.88,0.89921,0.58565,0.00382,0.71748,0.69097,0.75859,0.60885,0.8749,1.22417,0.00565,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,5169.4,0.91152,0.58451,0.00391,0.77379,0.65661,0.76343,0.60865,0.90306,1.13109,0.0059,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,5283.4,0.92256,0.59318,0.00392,0.64499,0.64945,0.69931,0.54857,0.98022,1.24023,0.00665,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,5394.66,0.92492,0.58052,0.00396,0.78625,0.68298,0.75673,0.60182,0.87299,1.11013,0.00559,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,5507.99,0.89027,0.55957,0.00379,0.67821,0.70916,0.76229,0.58966,0.9732,1.25845,0.00648,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,5626.78,0.89903,0.56009,0.00384,0.76477,0.68507,0.75066,0.59626,0.89171,1.26166,0.00565,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
