epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.514,0.75545,12.8221,0.00333,0.58441,0.60392,0.63737,0.56227,0.55689,8.98365,0.00349,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,165.778,0.8149,2.97765,0.0036,0.65537,0.63078,0.68306,0.59672,0.62721,2.49017,0.00401,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,218.868,0.8861,1.45438,0.00398,0.64344,0.64945,0.67331,0.53018,0.89173,1.90305,0.00592,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,270.531,0.93543,1.15945,0.00424,0.7189,0.71087,0.76442,0.65469,0.65258,1.04313,0.00404,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,321.512,0.91153,0.92135,0.00411,0.80321,0.69373,0.81047,0.68882,0.71494,0.93232,0.00462,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,371.923,0.89747,0.75843,0.00399,0.84313,0.79142,0.88729,0.75631,0.65301,0.68514,0.00409,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,423.133,0.88145,0.75565,0.00396,0.73153,0.77962,0.82771,0.70319,0.67409,0.90243,0.00436,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,474.901,0.87313,0.72909,0.00393,0.6948,0.78157,0.81629,0.68321,0.72991,0.92197,0.00489,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,525.812,0.82119,0.64149,0.0036,0.82989,0.83929,0.90483,0.76441,0.70494,0.5947,0.00468,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,577.56,0.83858,0.6491,0.00369,0.78203,0.80372,0.85831,0.74328,0.61879,0.75298,0.00397,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,628.873,0.82108,0.61307,0.00361,0.85061,0.8022,0.89387,0.78991,0.55975,0.71475,0.00349,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,679.608,0.8021,0.60605,0.00351,0.77938,0.80933,0.83781,0.72482,0.68079,0.7766,0.00451,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,730.695,0.77299,0.56651,0.0034,0.79627,0.78821,0.85871,0.7596,0.60403,0.84814,0.00388,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,781.462,0.78335,0.57129,0.00338,0.74841,0.83146,0.84751,0.72001,0.68728,0.87007,0.00466,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,832.715,0.76627,0.53918,0.00334,0.85298,0.80885,0.9066,0.80131,0.57085,0.72094,0.0036,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
