epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,143.064,1.0343,4.52661,0.00462,0.5612,0.54005,0.54601,0.43178,0.92661,2.08625,0.0058,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,230.378,1.01756,1.18428,0.00457,0.54695,0.53422,0.52265,0.41247,0.96362,1.60919,0.0063,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,309.931,1.12326,1.16853,0.00512,0.50315,0.51197,0.48292,0.33084,1.19491,2.39205,0.00792,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,386.413,1.20921,1.16642,0.00542,0.61106,0.60689,0.61639,0.46097,1.0379,1.78608,0.00675,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,464.315,1.1677,1.14008,0.00525,0.51812,0.57082,0.52137,0.37391,1.12055,2.31949,0.0074,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,541.272,1.15775,1.03962,0.00525,0.5745,0.67048,0.69038,0.52484,1.03358,1.56518,0.00681,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,618.206,1.14148,0.99318,0.00516,0.69604,0.61348,0.68424,0.51274,1.01421,1.34175,0.00643,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,694.704,1.13915,0.95274,0.00512,0.68748,0.59692,0.6585,0.47554,1.11894,1.6087,0.00735,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,771.055,1.1046,0.93845,0.00495,0.69033,0.67053,0.72093,0.55547,1.00056,1.27776,0.00649,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,848.334,1.10397,0.85265,0.00488,0.63119,0.72616,0.71328,0.55812,0.98145,1.42218,0.00641,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,927.571,1.07687,0.84987,0.0048,0.78443,0.74179,0.80453,0.62864,0.92169,1.10046,0.00581,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,1005.3,1.07826,0.81755,0.00476,0.6753,0.60145,0.61041,0.46891,0.92029,1.61532,0.00581,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,1082.04,1.05602,0.80876,0.00475,0.72953,0.70898,0.76507,0.57025,0.99254,1.19787,0.00622,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,1158.78,1.03819,0.76793,0.00464,0.67914,0.60801,0.61414,0.47042,0.96188,1.65395,0.00613,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,1235.96,1.02256,0.74031,0.00452,0.70943,0.68517,0.74561,0.57507,0.98622,1.53745,0.0064,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,1313.36,1.00409,0.71503,0.00443,0.75443,0.73944,0.81591,0.64052,0.97201,1.14306,0.00647,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,1391.44,0.98077,0.68954,0.00427,0.74338,0.70071,0.75995,0.58431,0.98315,1.10276,0.00627,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,1468.75,0.97411,0.7125,0.00431,0.53343,0.56875,0.48191,0.36476,1.04709,2.24788,0.00689,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
