epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.838,0.63838,6.42293,0.00283,0.73098,0.78294,0.84013,0.76563,0.47517,0.96332,0.00298,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,180.318,0.72158,0.89795,0.00329,0.75739,0.71525,0.82465,0.71847,0.64152,0.94693,0.00423,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,242.322,0.81978,0.91686,0.00376,0.54556,0.61711,0.64178,0.51866,0.86178,1.40668,0.0056,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,302.796,0.90957,0.94599,0.00421,0.63101,0.80594,0.81077,0.72239,0.58759,0.98489,0.00376,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,363.065,0.86182,0.82849,0.00394,0.64247,0.80644,0.8005,0.67176,0.70779,0.99303,0.00464,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,423.166,0.86199,0.70872,0.00393,0.75654,0.77853,0.83292,0.74082,0.59658,0.75636,0.00383,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,483.821,0.82801,0.65752,0.00376,0.79867,0.70994,0.72607,0.63428,0.60115,1.09687,0.00385,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,544.514,0.82353,0.6596,0.00374,0.76684,0.75968,0.79288,0.7131,0.53046,0.82256,0.00325,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,605.209,0.77373,0.61046,0.00338,0.76584,0.77738,0.86021,0.75833,0.60601,0.92761,0.00393,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,665.599,0.76985,0.57651,0.00344,0.86287,0.85465,0.91724,0.8106,0.58352,0.579,0.00368,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,725.928,0.76141,0.56702,0.00338,0.69885,0.79965,0.86084,0.77067,0.5653,0.95122,0.00355,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,786.886,0.75483,0.5728,0.00335,0.80113,0.76769,0.82422,0.7356,0.57197,1.09224,0.0037,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,847.166,0.73027,0.52091,0.00324,0.66043,0.62794,0.66413,0.52192,0.91618,1.51086,0.00619,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,907.133,0.74092,0.53045,0.00323,0.78776,0.82527,0.86431,0.76864,0.56697,0.84938,0.00369,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,967.628,0.70232,0.47936,0.00305,0.83298,0.85139,0.88791,0.80265,0.5317,0.68096,0.00339,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,1027.59,0.69932,0.46781,0.00307,0.78711,0.81057,0.86486,0.78101,0.50025,0.76586,0.00312,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,1087.46,0.68439,0.46254,0.00305,0.88617,0.83328,0.92585,0.84829,0.49934,0.56414,0.00323,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,1147.49,0.67888,0.45472,0.00304,0.81858,0.86175,0.89694,0.80997,0.50845,0.6633,0.00316,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,1208.23,0.6785,0.45557,0.00303,0.83557,0.83706,0.91323,0.82017,0.5451,0.62317,0.00341,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,1267.72,0.6795,0.43561,0.00298,0.81965,0.79584,0.86211,0.76221,0.5668,0.78517,0.00355,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,1328.15,0.64116,0.41212,0.00286,0.85734,0.79635,0.88625,0.79154,0.54858,0.67314,0.00346,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,1389.05,0.65905,0.42155,0.00293,0.8569,0.80132,0.92128,0.82877,0.57488,0.61707,0.00386,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,1450.25,0.64744,0.40392,0.00286,0.81252,0.85308,0.91964,0.838,0.4832,0.69405,0.00305,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,1510.17,0.64072,0.39541,0.0028,0.86507,0.86566,0.92734,0.8521,0.46429,0.50718,0.00284,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,1570.82,0.63888,0.38464,0.00282,0.8472,0.79161,0.89054,0.81787,0.47356,0.68279,0.00292,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,1631.16,0.62738,0.37885,0.00269,0.90166,0.87414,0.92548,0.844,0.52989,0.49851,0.00346,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,1691.89,0.63571,0.38259,0.00283,0.86929,0.8328,0.90383,0.82676,0.46654,0.58467,0.00293,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,1752.82,0.62395,0.37731,0.00272,0.88059,0.84701,0.90674,0.8317,0.47305,0.73608,0.00295,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,1813.47,0.61471,0.37881,0.00267,0.87945,0.87416,0.93969,0.86589,0.48172,0.45292,0.00294,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,1873.98,0.61517,0.37236,0.00264,0.9202,0.84444,0.93616,0.86195,0.46159,0.44622,0.00291,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,1934.07,0.6215,0.37948,0.00266,0.86885,0.80614,0.87057,0.7859,0.60137,0.72983,0.0039,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1994.31,0.61582,0.38717,0.0027,0.85893,0.73297,0.88253,0.80117,0.52128,1.86085,0.00333,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,2054.59,0.60378,0.36429,0.00262,0.93718,0.8904,0.94582,0.87251,0.44942,0.4252,0.00285,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,2115.47,0.59285,0.33726,0.00254,0.83383,0.79969,0.88564,0.77569,0.67998,0.79616,0.00485,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,2175.92,0.59142,0.34154,0.0026,0.84176,0.80261,0.9123,0.83863,0.47157,0.60316,0.00301,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,2236.62,0.57784,0.32436,0.00248,0.81159,0.86769,0.91459,0.82427,0.53675,0.61845,0.00341,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,2297.14,0.58258,0.34191,0.00251,0.84983,0.75017,0.86672,0.76889,0.66582,1.1487,0.00446,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
